,label,name,party,wahlkreis,x,y,digital,familie,demokratie,natur,arbeit
94,sandra-weeser,Sandra Weeser,FDP,Neuwied,-609.6753,-576.1014,0.033210261079081066,0.1110139481808948,0.0514927756562813,0.03116972064535412,0.023008290939863882
95,engin-eroglu,Engin Eroglu,FREIE WÄHLER,Lahn-Dill,79.538086,-589.85376,0.0288992988002734,0.09707468651349936,0.05531487713963705,0.017382620509507934,0.008503905689698455
96,toni-jaschinski,Toni Jaschinski,DIE LINKE,Mecklenburgische Seenplatte I - Vorpommern-Greifswald II,799.9641,265.49887,0.013794997976569566,0.034464240438730205,0.006683822008139832,0.03844916284175982,0.15056736845802213
97,bernhard-schmitt,Bernhard Schmitt,ÖDP,Aschaffenburg,-748.7747,167.34674,0.010380082113766422,0.014778930097938332,0.040250457261010376,0.0381205221890859,0.006538793738431825
98,sven-kobbelt,Sven Kobbelt,FDP,Esslingen,-533.27576,-408.85538,0.0346783827340961,0.05432378713270816,0.04925197975677936,0.013802694588550964,0.008708818670026132
99,pascal-lechler,Pascal Lechler,SPD,Ostallgäu,631.4465,239.22769,0.0,0.0901552841403639,0.010729680349486702,0.017506631595071945,0.07406286208435256
100,dominic-harapat,Dominic Harapat,DIE PARTEI,Lahn-Dill,-377.69534,-55.366207,0.011221056252711895,0.011020182852592278,0.01602947692591862,0.004890610478377795,0.023488225461851427
101,norbert-peter,Norbert Peter,ÖDP,Amberg,-202.01302,-274.32657,0.01460612552809009,0.0,0.0249469166538266,0.010754546755739166,0.03122111990936761
102,christian-pohlmann,Christian Pohlmann,FDP,Rhein-Erft-Kreis I,-5.395992,-607.4935,0.06338353134185784,0.006739093851984641,0.04048106633854564,0.045809775936981836,0.013662760241637404
103,rudiger-warnecke,Rüdiger Warnecke,DIE GRÜNEN,Rhein-Erft-Kreis I,-173.57022,6.7268867,0.0,0.0,0.0,0.01982770166758592,0.0
104,alexander-reich,Alexander Reich,FDP,Traunstein,-691.29834,557.46454,0.0203362134692804,0.062560796564427,0.09121081865733258,0.011987213069901949,0.010658433428293614
105,wolfgang-wohrmann,Wolfgang Wöhrmann,MLPD,Bielefeld - Gütersloh II,236.35132,354.25812,0.046596446280813775,0.03931796750698272,0.025963618008601568,0.024273009164975816,0.0
106,carmen-spiegelhalder-schafer,Carmen Maria Spiegelhalder-Schäfer,FREIE WÄHLER,Rottweil - Tuttlingen,-470.3885,-137.3152,0.0,0.03164296595707501,0.054065156745114834,0.008516387583565455,0.060090960818136835
107,uwe-kekeritz,Uwe Kekeritz,DIE GRÜNEN,Fürth,672.6044,-432.1611,0.031821578928358414,0.08540769173212819,0.03102473951135985,0.21999213971157755,0.055116325603618274
108,martina-boswald,Martina Böswald,AfD,Waldshut,-673.16064,346.10867,0.017685744838263268,0.027842014246109964,0.06575166408818647,0.017398407801459195,0.08158636378109631
109,christian-pape,Christian Pape,Parteilos,Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,-295.6535,465.3094,0.007932896971325336,0.011758049985279505,0.04193605230094928,0.008930220207299559,0.004944091028985739
